id_turma;codigo_turma;id_docente_interno;id_componente_curricular;local;situacao_turma;prof_nome;tempo_servico;nome_materia;qtd_alunos;aprovados;perc_aprovacao
57596647;01;5752481;2022854;A305 CIVT;CONSOLIDADA;MARCIO EDUARDO KREUTZ;2009-04-16 00:00:00;CIRCUITOS LÓGICOS;22.0;17.0;0.7727272727272727
57596648;01;5752481;2022855;A305 CIVT;CONSOLIDADA;MARCIO EDUARDO KREUTZ;2009-04-16 00:00:00;LABORATÓRIO DE CIRCUITOS LÓGICOS;22.0;17.0;0.7727272727272727
57596649;01;5755051;21771;A305 CIVT;CONSOLIDADA;MONICA MAGALHAES PEREIRA;2012-07-31 00:00:00;ORGANIZACAO E ARQUITETURA DE COMPUTADORES;10.0;5.0;0.5
57596652;01;5757768;52972;A308 CIVT;CONSOLIDADA;UMBERTO RIVIECCIO;2015-09-08 00:00:00;FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO III;22.0;12.0;0.5454545454545454
57596653;01;5752467;55327;A305 CIVT;CONSOLIDADA;EDGARD DE FARIA CORREA;2009-03-27 00:00:00;PROJETO DE SISTEMAS OPERACIONAIS;21.0;20.0;0.9523809523809523
57596654;01;5755871;55328;A305 CIVT;CONSOLIDADA;IVANOVITCH MEDEIROS DANTAS DA SILVA;2013-07-05 00:00:00;LABORATORIO DE PROJETO DE SISTEMAS OPERACIONAIS;21.0;20.0;0.9523809523809523
57596655;01;5755408;21790;A308 CIVT;CONSOLIDADA;AUGUSTO JOSE VENANCIO NETO;2013-01-03 00:00:00;REDES DE COMPUTADORES;29.0;24.0;0.8275862068965517
57596656;01;24798;52975;A307 CIVT;CONSOLIDADA;REGIVAN HUGO NUNES SANTIAGO;2002-02-19 00:00:00;LÓGICA COMPUTACIONAL;11.0;10.0;0.9090909090909091
57596656;01;5757768;52975;A307 CIVT;CONSOLIDADA;UMBERTO RIVIECCIO;2015-09-08 00:00:00;LÓGICA COMPUTACIONAL;11.0;10.0;0.9090909090909091
57596657;01;5758443;55369;A304 CIVT;CONSOLIDADA;EVERTON RANIELLY DE SOUSA CAVALCANTE;2016-06-10 00:00:00;PROGRAMAÇÃO CONCORRENTE;25.0;23.0;0.92
57596658;01;24798;21787;A304 - CIVT;CONSOLIDADA;REGIVAN HUGO NUNES SANTIAGO;2002-02-19 00:00:00;ESPECIFICACAO E VERIFICACAO DE PROGRAMAS;23.0;20.0;0.8695652173913043
57596658;01;5752649;21787;A304 - CIVT;CONSOLIDADA;ROBERTA DE SOUZA COELHO;2009-07-01 00:00:00;ESPECIFICACAO E VERIFICACAO DE PROGRAMAS;23.0;20.0;0.8695652173913043
57596659;01;35188;52990;A309 CIVT;CONSOLIDADA;MARTIN ALEJANDRO MUSICANTE;2005-09-12 00:00:00;COMPILADORES;9.0;8.0;0.8888888888888888
57596660;01;5755047;55370;A307 CIVT;CONSOLIDADA;MARJORY CRISTIANY DA COSTA ABREU;2012-07-31 00:00:00;INTELIGENCIA ARTIFICIAL;11.0;10.0;0.9090909090909091
57596661;01;35188;25258;A309 CIVT;CONSOLIDADA;MARTIN ALEJANDRO MUSICANTE;2005-09-12 00:00:00;PROPOSTA DE MONOGRAFIA DE GRADUACAO;10.0;7.0;0.7
57596662;01;5755388;52973;A308 CIVT;CONSOLIDADA;CARLOS AUGUSTO PROLO;2013-01-14 00:00:00;PROJETO E ANÁLISE DE ALGORITMOS;9.0;6.0;0.6666666666666666
57596663;01;5758443;21794;B203 CIVT;CONSOLIDADA;EVERTON RANIELLY DE SOUSA CAVALCANTE;2016-06-10 00:00:00;SISTEMAS DISTRIBUIDOS;9.0;7.0;0.7777777777777778
57596668;01;5758443;2054904;A309 CIVT;CONSOLIDADA;EVERTON RANIELLY DE SOUSA CAVALCANTE;2016-06-10 00:00:00;BOAS PRÁTICAS DE PROGRAMAÇÃO;87.0;35.0;0.40229885057471265
57596669;01;5752649;2054911;A309 CIVT;CONSOLIDADA;ROBERTA DE SOUZA COELHO;2009-07-01 00:00:00;TESTE DE SOFTWARE I;37.0;32.0;0.8648648648648649
57596670;01;22764;52867;A305 CIVT;CONSOLIDADA;JAIR CAVALCANTI LEITE;1993-04-01 00:00:00;DESENVOLVIMENTO DE SISTEMAS WEB I;69.0;39.0;0.5652173913043478
57596671;01;5751871;2054910;A307 CIVT;CONSOLIDADA;UIRA KULESZA;2008-07-25 00:00:00;PROJETO DETALHADO DE SOFTWARE;33.0;22.0;0.6666666666666666
57596672;01;5751828;42158;A309 CIVT;CONSOLIDADA;MARCEL VINICIUS MEDEIROS OLIVEIRA;2008-07-14 00:00:00;BANCO DE DADOS;59.0;33.0;0.559322033898305
57596673;01;5751828;42159;A309 CIVT;CONSOLIDADA;MARCEL VINICIUS MEDEIROS OLIVEIRA;2008-07-14 00:00:00;PRATICA DE BANCO DE DADOS;59.0;33.0;0.559322033898305
